,nn rmse,nn r2,rnn mape,att rmse,att r2,att mape
average feed intake g per d,9.953042786265668,0.9803808859628704,0.06485936109059502,10.524984673668726,0.9780613149398204,0.07272864603588224
"bodyweightgain,g",9.630033284044185,0.8959602451788327,0.1392217880632858,9.497408319635987,0.8988061862867347,0.1402731671217129
Breast n-3,0.192615778313777,0.5443164803351828,1.1324151812215342,0.05397477632737076,0.964218272428427,0.11963015787619731
Breast C18:3 ,0.07760888716845148,0.1714239389450326,0.2965906350493501,0.024319603093871992,0.9186378465123942,0.11514569109709935
Breast C22:6,0.14557591826646513,0.4425746013557137,0.1628190034996044,0.11068165497027743,0.6777751981722866,0.12042204644232171
Thigh PUFA,0.3403585689746664,0.2586779942066799,0.11315975829627391,0.31354855099130324,0.3708660664636555,0.10439145894249964
Thigh n-3,0.29365098893580166,0.5229838281412422,1.5351048573004948,0.14199881864670455,0.8884576911453971,0.14379607094558997
Thigh C20:4,0.09273939956395214,-0.8302887451784802,0.2780100396608513,0.03429228545872683,0.7497443391223155,0.12031603397012028
Plasma n-6,0.14924766466114153,0.4371778121223663,0.16573808043209864,0.1073457905865512,0.708843721775696,0.144797920334812
liver MURF1,0.10737413377867236,0.7028498624296655,0.3612118330886622,0.14068449183261889,0.4898838872829139,0.2685720937176998
