,0
Start,1.1942461719283417e-05
End,0.0
"ME, kcal",0.00018725305309357822
"NDF,g",0.0013317403609661488
"ADF,g",0.0023096802255322766
"NFC,g",7.594764072787857e-05
"Crude fiber,g",0.0005550021625623741
"Starch,g",0.0015589784297119467
"CP,g",0.0001971624784270074
"Arginine,g",0.0003363995469303959
"Histidine,g",0.0003246655342661891
"Isoleucine,g",0.0004396137522405984
"Leucine,g",0.00032224506271796155
"Lysine,g",0.0003652398970869607
"Methionine,g",0.001309514502782126
"Phenylalanine,g",0.0001255662171956619
"Threonine,g",0.001088693850728631
"Tryptophan,g",0.0013373947160374195
"Valine,g",0.0006898440813375977
"Alanine,g",0.002082913041214277
"Aspartic acid,g",0.0006294504809482947
"Cystine,g",0.003655845857726833
"Met + Cys,g",0.0007599999797922669
"Glutamic acid,g",0.00013965727350970515
"Glycine,g",0.0017706293120833708
"Proline,g",0.0006428596491611065
"Serine,g",0.0006060859599605005
"Tyrosine,g",0.0006881162018393164
"Phe + Tyr,g",0.0002978724847801026
"Ether extract,g",0.00137501264195396
"SFA,g",0.0009746443603407916
"MUFA,g",0.0011301351632705561
"PUFA,g",0.0034839742637132686
"n-3 PUFA,g",0.0022795413858224456
"n-6 PUFA,g",0.002265889458473868
"n-3:n-6 ratio,g",0.00012146829874752838
"C14,g",0.0008247387101449013
"C15:0,g",0.0
"C15:1,g",0.0
"C16:0,g",0.0063005464975640635
"C16:1,g",0.0001594873923497751
"C17:0,g",0.0
"C17:1,g",0.0
"C18:0,g",0.00053254241360279
"C18:1,g",0.017397860008706263
"C18:2 cis n-6 LA,g",0.009137991710022986
"C18:3 cis n-3 ALA,g",0.0009059331375309181
"C20:0,g",0.00041223903639352004
"C20:1,g",0.0009382579938696058
"C20:4n-6 ARA,g",0.0
"C20:5n-3 EPA,g",0.0
"C22:0,g",0.0003676057383078246
"C22:1,g",0.0
"C22:6n-3 DHA,g",0.05696987780708306
"C24:0,g",0.003875944433762275
"Ash,mg",0.0003494002377466461
Vitamin A IU,0.0007475111878799813
"beta-carotene,mg",0.08463725603857075
Vitamin D3 IU,0.001121458266583521
"Vitamin D3 25-Hydroxyvitamin D, IU",0.0
Vitamin E IU,0.002454631803368851
Vitamin K mg,0.0010500688686284156
AST ppm,0.0
Thiamin mg,0.001690657780558609
Riboflavin mg,0.0005520482021095255
Niacin mg,0.002221084371538714
Pantothenic acid mg,0.0013481043265237418
Pyridoxine mg,0.0005784023903500556
Biotin mg,0.002061837430428476
Folic acid mg,0.0008505812715051952
Vitamin B12 mg ,0.0009391733024103654
Choline mg,0.003944657182233286
"Calcium,g",0.0001521587317901234
"Total Phosphorus,g",0.0015158916485291597
"Inorganic available P,g",0.0004897724588661346
Ca:P ratio,0.008665327518118082
"Na,g",0.0007337547077099388
"Cl,g",5.456627354815929e-05
"K,g",0.00268201190601999
"Mg,g",0.000559087233122148
"S,mg",8.604222702190227e-05
Cu mg,0.0019436125806577933
I mg,0.0009766577549723484
"Fe,mg",0.0008244353694665019
"Mn,mg",0.0006415784634153708
"Se,mg",0.0018600367780998617
"Zn,mg",0.0007912385673732786
